Date,Total Profit
21/07/2023,5865.820267
24/07/2023,-1713.845707
25/07/2023,-1436.409775
26/07/2023,-4218.045952
27/07/2023,-3655.536412
28/07/2023,-5246.448217
31/07/2023,-5493.989907
01/08/2023,-16581.02798
02/08/2023,-14612.93349
03/08/2023,-12844.95094
04/08/2023,-13814.53386
07/08/2023,-11570.4592
08/08/2023,-3213.857072
09/08/2023,-6571.973399
10-08-2023,-3773.9135480000286
11-08-2023,-6837.658664000014
14-08-2023,2559.6757439999674
15-08-2023,-4386.26088499998
17-08-2023,-4668.717212999992
18-08-2023,-2097.075316000002
